Question,A,B,C,D,Correct Answer,Feedback / Explanation
Regulations affecting real estate practice at the state level are,the same throughout the United States,secondary to the national level,implemented by the state’s department of education,heavily focused on license laws and license maintenance,d,"Virtually every real estate practitioner in the United States is subject to license requirements according to the laws of the state in which the practitioner resides and does business. Regulations vary from state to state, but license laws originate primarily from the state government level"
Real estate licensing applies to,any person over the age of 21 who provides any level of real estate services to the public,any person who performs a real estate service on behalf of another party for consideration,any property owner who wishes to sell their property,the executor of an estate when selling properties,b,Any person who performs a real estate service on behalf of another party for consideration must be duly licensed under state law
Which of the following parties are exempt from licensing if practicing within his or her designated profession?,Auctioneers,Appraisers,Court-appointed persons,Managers of residential condominiums,c,"Real estate license laws commonly exempt the following from licensing requirements when discharging their occupational responsibilities: employees of a property owner who are not paid on a per-transaction basis, such as an onsite rental agent in an apartment complex, employees of transient lodging facilities such as motels and hotels, managers of residential condominiums or cooperatives, dealers in cemetery lots, attorneys performing regular legal duties for a principal, persons acting in a court-appointed capacity"
"While license requirements vary from state to state, they commonly focus on which of the following?",College degree and 21 years of age or older,Moral character and reputation,Social media profile and reviews,Credit score and income,b,"Requirements vary from state to state, but generally, an applicant must be of legal age and mentally competent, be of good moral character and may be required to have a high school diploma"
Most states have two or more levels of licensure for real estate brokerage. These may include,salesperson and broker,leasing and property manager,condominium and cooperative managers,residential and commercial managers,a,Most states have a 2-level license system for salespeople and brokers (or brokers who manage)
The requirement to advance from a salesperson license to a broker license in most states includes,a specific amount of time as a salesperson before applying to become a broker,a minimum of 10 years in the real estate industry,a recommendation from the applicant’s broker,only a passing grade on the broker exam,a,Most states require an applicant for a broker’s license to have experience as an actively licensed salesperson within a certain period of time preceding the date of the application
Every state has an entity that administers and enforces licensing regulation.  This entity is most often known as,the state’s real estate license committee,the state’s commission on consumer relations,the state’s real estate commission,the state’s real estate finance commission,c,State license laws provide for the establishment of a real estate regulatory entity to administer and enforce licensing legislation.  This entity is most often known as the state’s real estate commission
A real estate commission’s authority is generally all the following EXCEPT,legislative,regulatory,judicial,administrative,a,"A real estate commission’s authority is generally regulatory, judicial and administrative.  These agencies do not enjoy any legislative authority"
The regulatory authority is charged with enacting enforceable guidelines with regard to the ethical and professional behavior of licensees.    These guidelines may include specific sanctions against,use of profanity when meeting with a client,"fraud, negligence, failure to disclose as required, kickbacks, misleading advertising",marketing yourself instead of the client’s property,spending too much on marketing,b,"The guidelines may also include concealment, collusion, violations of fiduciary duty, practicing law in completing or interpreting contracts, mismanaging escrow funds and/or earnest money deposits, or making improper commission arrangements with clients, customers or other licensees"
The practice of being licensed in one state and obtaining a second license in another state -- without having to fulfill all the requirements existent in the second state -- is referred to as,the national real estate license,reciprocity,a Realtor ®.,an education exchange,b,"A broker's license from one state does not confer the authority to operate in another state since a real estate license only permits practice in a given state.  For example, a broker who holds a Virginia real estate license has no authority to operate in Wyoming. However, a licensed broker in a state having reciprocity with another state may be excused from some of the licensing requirements that an unlicensed applicant has to meet in that state"
The state’s licensing entity has the authority to do which of the following?,handle problems between licensees and consumers,grant licenses to government employees,suspend a licensee without a hearing if a consumer files a complaint,pass laws that are needed to regulate real estate,a,"A state real estate commission has the authority to oversee the licensing process, administer all aspects of the license laws, and adjudicate consumer complaints filed against licensees"
State education and research foundations are established in order to:,carry out various real estate and research projects,assist consumers by answering questions and accepting complaints,confirm that applicants for a license have met the educational requirements,provide the various state legislatures with information regarding the passing of real estate laws,a,The foundation serves the real estate industry and the public by carrying out these projects
Complaints against licensees are handled by the state’s licensing entity.  Disciplinary processes include,"investigation, prosecution, and discipline",investigating the complaint and advising the consumer regarding the next step,"discipline, once the consumer has prevailed in court",suspension of the license until the issues have been thoroughly investigated,a,"Delegated officials investigate the complaint. If there is substance, hearings & investigations are conducted. If found guilty, an official order of disciplinary action may be issued"
Any state may establish recovery funds for the purpose of,paying for the licensee’s fees and costs for attorneys to defend the licensee,having a reserve account funded through license fees and fines to reimburse consumers,compensating licensees for loss when a complaint has been filed against them,allowing the licensee to recover from the investigation,b,"The recovery fund is a reserve account funded through license fees and collected fines. The fund pays portions of a money judgment on behalf of a licensee, up to a prescribed amount"
In which risk management strategy does a party take full responsibility for consequences and enter into an activity in spite of known risks?,Avoidance,Reduction,Transference,Retention,d,Retention of risk means entering into an activity in spite of known risks and taking full responsibility for the consequences
Brokerage firms can best reduce the risks that licensees will commit errors and violate laws by,obtaining errors and omissions insurance,hiring only agents with law degrees,disclaiming knowledge of the law,providing professional education,d,"Education is the first line of defense against risk. When agents are familiar with the forms provided by the office, how and when to complete them and where to send them, the likelihood of errors is reduced. Likewise, agents need to be able to identify and understand common contract elements, complete contract forms developed by attorneys, and evaluate offers received from co-op agents on their listings without committing a license violation or breach of law"
How does documentation manage risk?,It shows the public that the office is well-managed,It serves as evidence that laws have been complied with,It relieves agents of the need to remember details,It keeps office staff too busy to interfere with transactions,b,Documentation provides evidence of compliance with laws and regulations. It proves what clients and customers and licensees said and did in a transaction. Some documentation is required by law
A good way of reducing the risk that brokers and sales affiliates will commit errors or inadvertent law violations is to,establish a company-administered system of fines and penalties,maintain a comprehensive and up-to-date procedures manual,hire only licensees with at least five years’ experience,have licensees sign an agreement that they take sole responsibility for their actions,b,Adherence to a procedures manual reduces the risk that an individual will inadvertently commit an unlawful act
The risk of committing an unauthorized practice of law can be practically reduced by,having customers and clients provide their own legal forms,avoiding situations that require the use of legal forms,using standard forms and contracts prepared by attorneys,having on on-staff attorney be present at the signing of any legal form,c,"Standard forms save time and protect against the unauthorized practice of law. Since they are most often prepared by lawyers familiar with the market area, they can address contingencies that are common in the area in a manner that reflects the real estate laws of the state"
Transaction records required to be maintained typically include,road maps,photographs of all transaction parties,copies of agents’ school transcripts,closing statements,d,Required transaction records typically include:  •listing agreements  •offers  •contracts  •closing statements  •agency agreements  •disclosure documents  •correspondence and other communication records  •notes and any other relevant information
What kind of coverage is provided by general liability insurance?,Coverage for any financial harm caused by a covered licensee,Coverage for a property owner’s risks incurred when the public enters the insured premises,Coverage for property damage caused by a property manager,Coverage for financial harm caused by an illegal action of a licensee,b,General liability insurance provides coverage for risks incurred by a property owner when the public or a licensee enters the owned property (public liability)
Standard E & O policies exclude coverage of damages resulting from,violations of law,negligent performance of a professional service,failing to carry out a company policy,cooperation with other brokerage firms,a,A standard E&O policy does NOT cover violations of law
Failure to maintain client confidentiality is a risk associated primarily with,trust fund handling,office management,the agency relationship,the closing process,c,"The duty of confidentiality requires the agent to hold in confidence any information that would harm the client’s interests or bargaining position or anything else the client wishes to keep secret, unless the law requires disclosure. The duty of confidentiality survives the termination of the listing contract"
The lead-based paint disclosure requirement,applies to all properties,applies to residential properties built before 1978,"applies to the seller of a property, not to the seller’s agent",is mandatory for the seller of a property but optional for the seller’s agent,b,Federal law requires sellers of houses built before 1978 to make a lead-based paint disclosure before accepting an offer to purchase
Creating a false impression that the licensee is a certified appraiser is a danger in ,performing a comparative market analysis,writing property advertisements,presenting written offers,researching ownership documents,a,"In preparing a Comparative Market Analysis, licensees should guard against using the terms “appraisal” and “value,” which are reserved for the use of certified appraisers. Misuse of these terms could lead to a charge of misrepresenting oneself as an appraiser"
One of the major risk areas in advertising a listed property is that an advertisement will,describe the property in excessively glowing terms,fail  to appear at the same time in all available media,omit any mention of the owner’s main selling points,make a substantial misrepresentation,d,"The license laws of most states list as illegal advertising activities subject to discipline such actions as making any substantial and intentional misrepresentation, making false promises, and making misleading or untruthful statements in any advertising"
Which of the following actions can a real estate licensee perform without risking the commission of an unauthorized practice of law?,Give legal advice,Fill in blanks on a lawyer-prepared contract form,Charge a fee for preparing a purchase contract,Draft an addition to a preprinted form,b,Licensees may fill in blanks or make deletions on a preprinted contract form prepared by a lawyer
"In assisting a party to prepare a purchase contract, it is essential for a licensee to",use the services of an attorney,make sure that the buyer and seller do not make any changes to the preprinted form,sign the contract along with the buyer and seller,make sure the information in the contract is accurate and that all agreed terms are included,d,"Contracts that contain incorrect information or are inadequately prepared can pose a serious liability for a licensee. To avoid such a situation, it is imperative for the contract to reflect the terms that the parties have agreed upon in the most accurate and honest manner. The agent must also be careful to comply with the letter of the real estate law. Violations can jeopardize the enforceability of a listing or sales contract, in addition to resulting in criminal prosecution"
"To minimize the risk of violating fair housing laws, a licensee should",refuse to use terms that refer to or describe any of the classes of persons protected by the laws,avoid working in neighborhoods that are predominantly occupied by a single ethnic group,"make discriminatory or derogatory remarks in conversation only, never in writing",give better service to members of a protected class than is standard for other clients or customers,a,"Before entering into a listing agreement, a licensee should explain that it is necessary to comply with fair housing laws and obtain the potential client's acknowledgment and agreement. The agent should make it clear that the agent will reject the use of terms indicating race, religion, creed, color, national origin, sex, handicap, age or familial status to describe prospective buyers. Such terms should be avoided in conversation as well as in advertising"
"If licensees working for competing firms are overheard discussing commission rates,  they are at risk for being charged with",commingling,price fixing,insider trading,redlining,b,Antitrust laws forbid brokers to band together to set a price on their services in listing and selling property. Even being overheard discussing commission rates or being present at such a conversation can lead to charges of price fixing
A licensee who knowingly conveys false information about a property is committing,intentional misrepresentation,unintentional misrepresentation,accidental fraud,felonious representation,a,"Also known as fraud, this intentional misrepresentation occurs when a licensee knowingly conveys false information about a property, financing or service. Fraud is a criminal act that may result in fines and incarceration, in addition to discipline from state regulators and professional organizations"
The risks that attend recommending service providers can be effectively reduced or transferred by,presenting a broad range of choices and letting the consumer make a selection,recommending all the relevant providers listed in the telephone directory,recommending only those providers who are willing to work on a commission split,recommending service providers who have performed well in the past,a,"The major risk management technique for recommendation of vendors and service providers to a consumer is to shift the responsibility for choosing a vendor to the consumer. This can be done by refusing to recommend vendors at all; by presenting a broad range of choices and allowing the consumer to select; or by presenting a short list of thoroughly vetted vendors and allowing the consumer to make the decision, always with the disclaimer that to the best of the licensee’s knowledge, the vendors on the list are competent and honest, but that the consumer is responsible for investigating and making his or her own judgment before hiring or buying"
Which of the following is an area of risk for the licensee regarding the Real Estate Settlement and Procedures Act?,Forgetting to file a tax form reporting a completed sale,Failing to be present at a closing,Failing to make sure the consumer is informed about rights guaranteed by RESPA,Failing to fill out a Uniform Settlement Statement for a client,c,The licensee’s risks regarding RESPA primarily relate to:  •failing to ensure that the consumer is informed about his or her rights under the law  •giving or receiving an illegal kickback
The main danger in the area of handling trust funds is the possible commission of,separate record keeping,trustor malfeasance,fraudulent credit scoring,commingling and conversion,d,"Mixing of personal or company funds with client funds is grounds for the revocation or suspension of a real estate license. Depositing client funds in a personal or business account, or using them for any purpose other than the client’s business, is also grounds for suspension or revocation of a license. It is important for the broker to remove commissions, fees or other income earned by the broker from a trust account within the period specified by law to avoid committing an act of commingling"
Which action could unintentionally create an implied agency relationship in real estate?,,,,,,
