Question,A,B,C,D,Correct Answer,Feedback / Explanation
A deed which conveys to the grantee the promise from the grantor that I own and will defend against my acts only has received which of the following deeds?,Bargain and sale deed,General warranty deed,Special warranty deed,Quitclaim deed,c,"In a special warranty deed, the grantor warrants only against title defects or encumbrances not noted on the deed that may have occurred during the grantor's period of ownership or trusteeship"
Which of the following statements is true about quitclaim deeds?,The quitclaim deed is typically used to clear title rather than convey it,The quitclaim deed covenant claims that the title will be defended in court,The quitclaim deed is the same as a special warranty deed,The quitclaim deed contains the warrant of seisin,a,"The quitclaim is typically used to clear title rather than convey it. Where there is a possibility that prior errors in deeds or other recorded documents might cloud (encumber) the title, the relevant parties execute a quitclaim deed to convey ""any and all"" interest to the grantee"
A valid last will and testament for the transfer of real property will generally take which of the following forms?,Holographic,Undocumented,Disproved,Secretively,a,"A will can take on one of the following forms:  witnessed, holographic (in the testators handwriting, dated and signed), approved or nuncupative"
"A single parent died intestate, leaving four surviving children. In this case, the estate passes to the lawful heirs according to the states laws of",escheat,descent and distribution,testate probate,eminent domain,b,"If the decedent died without a valid will, the estate passes to lawful heirs according to the state's laws of descent and distribution, or succession"
"To claim legal title, the adverse possessor must have",notorious possession,a sales contract,an eviction notice,proof of purchase,a,"To claim legal title, the adverse possessor must have notorious possession, which is possession without concealment"
Which of the following prevents a person from claiming a right or interest that is inconsistent with the person's previous statements or acts?,Estoppel,Injunction,Warranty,Deed,a,"Estoppel prevents a person from claiming a right or interest that is inconsistent with the person's previous statements or acts. As a basis for involuntary alienation, the doctrine of estoppel can prevent an owner from re-claiming a property that was transferred under false pretenses"
"To demonstrate marketable title to a buyer, a seller must show that the",title is encumbered,title is free of defects,property is not located on a floodplain,property has been advertised,b,"To demonstrate marketable title to a buyer, a seller must show that the title is free of defects, such as a judgment lien"
"Generally, an attorneys title abstract is which of the following?",The attorneys proof that title has cleared,The attorneys guarantee that the property is not encumbered,The attorneys opinion of the condition of the property,The attorneys opinion of the condition of title,d,"An attorney's title abstract is a summary of an attorneys examination of a propertys title history.  The abstract also renders the attorney's opinion of the condition and marketability of the title. Generally, an opinion is not a proof or guarantee of clear title. Further, it offers no protection in the event title turns out to be defective"
"Which of the following is a summary of the condition of title as of the date of the certificate, based on a search of public records by a title analyst?",Abstract of title,Equitable title,Title certificate,Title insurance,c,"A title certificate is a summary of the condition of title as of the date of the certificate, based on a search of public records by an abstractor or title analyst. The certificate does not guarantee clear title against defects, unrecorded encumbrances or encroachments"
Which two terms are often used interchangeably?,Equitable title and legal title,Legal title and title,Contract for deed and abstract title,Quiet title and legal title,b,"In practice, the terms ""title"" and ""legal title"" are often used interchangeably"
The transfer of title to real estate is also called,title.,actual notice,legal notice,alienation,d,"Transfer of title to real estate, also called alienation, occurs voluntarily and involuntarily"
A living owner makes a private grant utilizing which of the following?,Transfer by will,Constructive notice,Deed of conveyance,Involuntary alienation,c,"A living owner makes a private grant by means of a deed of conveyance, or deed. A private grant that occurs when the owner dies is a transfer by will"
"Unless the deed contains special provisions, the deed must be signed by the",grantor,grantee,atorney,agent,a,"The deed must be signed by the grantor, but need not be signed by the grantee unless the deed contains special provisions requiring the grantee's acceptance. Grantors may give power of attorney to other parties, authorizing them to execute deeds on their behalf"
Which of the following statement is true regarding the conveyance of the title?,The execution of a valid deed in itself does not convey title,The delivery of the deed is enough to convey the title,The title will be conveyed regardless of acceptance by the grantee,The grantor can reclaim the property if the grantee loses the deed,a,Execution of a valid deed in itself does not convey title. It is necessary for the deed to be delivered to and accepted by the grantee for title to pass
Which of the following is the only required conveyance clause?,Habendum clause,Tenendum clause,Granting clause,Reddendum clause,c,"Conveyance clauses and covenant, or warrant, clauses set forth all the necessary provisions of the conveyance. Granting clauses, or premises clause are the only required clause. The granting clause contains the conveyance intentions; names the parties; describes the property; indicates nominal consideration"
The covenant in a deed that assures that the grantee will not be disturbed by third party title disputes is known as the,warrant of seisin,warrant of quiet enjoyment,warranty forever,warranty against grantors acts,b,"The warrant of quiet enjoyment assures that the grantee will not be disturbed by third party title disputes. another party, the grantee"
"The covenant in a deed that assures that the grantor owns the estate to be conveyed, and has the right to do so is known as the",warrant of seisin,warrant of quiet enjoyment,warranty forever,warranty against grantors acts,a,"The warrant of seisin assures that the grantor owns the estate to be conveyed, and has the right to do so"
The overall general warranty covenant is,"""I own, but won't defend.""","""I own and will defend against my acts only.""","""I may or may not own, and I won't defend.""","""I own and will defend.""",d,"The general warranty deed, or warranty deed for short, is the most commonly used deed. It contains the fullest possible assurances of good title and protection for the grantee. The overall general warranty covenant is: ""I own and will defend."""
The overall special warranty covenant is,"""I own, but won't defend.""","""I own and will defend against my acts only.""","""I may or may not own, and I won't defend.""","""I own and will defend.""",b,"In a special warranty deed, the grantor warrants only against title defects or encumbrances not noted on the deed that may have occurred during the grantor's period of ownership or trusteeship. The overall special warranty covenant is: ""I own and will defend against my acts only."""
"If a party responsible for encumbering title refuses to quitclaim the interest, the owner may file which of the following?",Partition suit,Quiet title suit,Lawsuit,Quitclaim deed,b,"If a party responsible for encumbering title refuses to quitclaim the interest, the owner may file a quiet title suit. This requires the lienor to prove the validity of an interest. If the defendant is unable to do so, the court removes the cloud by decree"
An owner can avert the danger of involuntary alienation by taking which of the following action?,Recording a quit claim deed,Suing to quiet title,Registering the property with the recorder of deeds,Obtaining an estoppel,b,"An owner can avert the danger of involuntary alienation by adverse possession by periodically inspecting the property within statutory deadlines and evicting any trespassers found. The owner may also sue to quiet title, which would eliminate the threat of the adverse possessor's claim to legal title"
Notorious possession and hostile possession give _______________ to the public,claim of right,no notice,actual notice,constructive notice ,d,"Notorious possession and hostile possession give constructive notice to the public, including the legal owner, that a party other than the legal owner is occupying and claiming to own the property"
"To claim the legal title, the adverse possessor must",be able to show a color of title as a reason for the possession,prove ownership with a quit claim deed,have a written signed lease agreement allowing for the use of the property,register the property in the Torrens system,a,"A claim of right is based on the adverse possessor's occupying and maintaining the property as if he or she were the legal owner. Color of title results when a grantee has obtained defective title, or received title by defective means, but occupies the property as if he or she were the legal owner. A court may hold that a claim of right or a claim of colored title is a valid reason for the possession"
"Which of the following contains the history of every parcel of real estate in the county, including names of previous owners, liens, easements, and other encumbrances?",Abstract of title,Clerk of the circuit court,Title records,Title insurance,c,"The public records, or title records, contain a history of every parcel of real estate in the county, including names of previous owners, liens, easements, and other encumbrances that have been recorded"
All of the following are evidence of title EXCEPT,an estoppel,a title insurance policy,an attorneys opinion of the abstract,a title certificate,a,Estoppel prevents a person from claiming a right or interest that is inconsistent with the person's previous statements or acts. It is not evidence of title
"Homeowners associations (HOAs) are bodies, usually established by developers, that determine rules and regulations for the operation of a housing development. The rules are presented in",the developers mandate handbook.,a HOAs candidate handbook.,"a Declaration of Covenants, Conditions, and Restrictions (CC&Rs)","a Declaration of Demands, Requirements and Reservations (DR&Rs)",c,"Homeowners associations (HOAs) are bodies, usually established by developers, that determine rules and regulations for the operation of a housing development. The rules are presented in a Declaration of Covenants, Conditions, and Restrictions (CC&Rs) for the development and in association by-laws.  An HOA may not impose a rule that conflicts with the law or violates homeowner rights. Infringements of rules and regulations may be enforced by the action of a civil court."
Someone who possesses all ownership interests in real property owns,equitable title to the real property,legal title to the real property,equitable and legal title to the real property,statutory title to the real property,b,"Someone who possesses all ownership interests owns legal title to the property. Legal title is distinct from equitable title, which is the interest or right to obtain legal title to a property in accordance with a sale or mortgage contract between the legal owner and a buyer or creditor"
The question of who owns title to a property is generally a function of,who has a bill of sale for the property,who has physical possession of the property,who has the best evidence of ownership,who has a deed for the property,c,Ownership of legal title is a function of evidence. A court will generally rule that the person who has the preponderance of evidence of ownership is the owner of the property
Which of the following best describes actual notice?,It is notice published in a newspaper,It is knowledge one could have or should have obtained,It is notice explicitly stated in a legal document,It is knowledge received or imparted through direct experience,d,"Actual Notice of ownership is completed by providing direct evidence of ownership, such as a valid will showing an inheritance of the property, or a deed, or by an examination of county records or by simply visiting the property to see who is in possession"
Which of the following best describes constructive notice?,It is notice published in a newspaper,It is knowledge one could have or should have obtained,It is notice explicitly stated in a legal document,It is knowledge received or imparted through direct experience,b,"Constructive notice, or legal notice, is knowledge of a fact that a person could have or should have obtained. The foremost method of imparting constructive notice is by recordation of ownership documents in public records, specifically, title records"
Title can be voluntarily transferred by,"grant, deed, and will","escheat, deed, and covenant","title certificate, will, and deed","sale contract, deed, and warrant of seizin",a,"A living owner makes a private grant by means of a deed of conveyance, or deed. A private grant that occurs when the owner dies is a transfer by will"
"The owner of a property creates a deed, leaving the name of the grantee blank, and puts it in a drawer, where it is forgotten for several years.  One day, a visitor finds the deed, fills in his name as grantee, and attempts to record it.  However, the owner will probably have no trouble disputing the validity of the deed because",the grantee was not competent at the time of delivery,"there was no intent to deliver it, and no consideration was given",the grantee did not sign it at the time of execution,it was not accompanied by a transfer certificate,b,"To be valid, a deed must be accompanied by valuable (monetary) or good (love and affection) consideration, and the grantor must declare before a notary or other authorized person that the grantor's identity and signature are genuine, and that the deed execution was a free, voluntary act"
What is the function of recording a deed?,It makes the deed valid,It causes title to pass,It gives constructive notice of ownership,It removes all prior recorded encumbrances,c,"Recording is not necessary to make a deed valid. However, it is in the grantee's best interests to do so. Recording the deed gives the public constructive notice of the grantee's ownership"
The only clause that is actually required in a deed is the,habendum clause,granting clause,reserving clause,tenendum clause,b,"The granting, or premises, clause is the only required clause. It contains the conveyance intentions; names the parties; describes the property; and indicates a nominal consideration"
The type of deed that offers the grantee the fullest protection against claims to the title is the,general warranty deed,special warranty deed,quitclaim deed,bargain and defend deed,a,"The general warranty deed, or warranty deed for short, contains the fullest possible assurances of good title and protection for the grantee. The deed is technically a bargain and sale deed in which the grantor promises to defend against any and all claims to the title. The overall general warranty covenant is: ""I own and will defend."""
Why would a property owner file a quiet title suit?,To force the grantor to defend the title against a third party claim,To terminate a co-ownership estate when one co-owner is unwilling,To keep the owner's name out of the title records,To have an encumbrance removed if the lienholder cannot prove its validity,d,"If a party responsible for encumbering title refuses to quitclaim the interest, the owner may file a quiet title suit. This requires the lienor to prove the validity of an interest. If the defendant is unable to do so, the court removes the cloud by decree"
Title to a certain real property is being held in a trust as collateral for a loan. What kind of deed will the trustee use to convey the title to the borrower when the loan terms are satisfied?,Deed of trust,Deed in trust,Guardian's deed,Reconveyance deed,d,"On satisfaction of the loan terms, the trustee uses a reconveyance deed to convey the property back to the borrower"
What is a documentary stamp tax?,A transfer tax based on the price of the property being conveyed,A tax a title company must pay in order to examine title records in the recorder's office,A tax collected by attorneys and paid to the state when transfer documents are prepared,A tax on stamps used to certify the authenticity of a conveyance,a,"State law usually requires payment of a documentary stamp tax on a conveyance of real property. The tax is based on the actual price of the property conveyed, thus enabling taxing authorities to ascertain current market value for ad valorem tax purposes. Payment of the tax is evidenced on the deed"
The property transferred by a will is called the,devise,demise,device,assigns,a,The property transferred by the will is the devise
Which of the following is true of a nuncupative will?,It is in the testator's handwriting,"Generally, it does not need to be signed in order to be valid","It is valid for the transfer of real property, even if it is not witnessed","Generally, it is not valid for the transfer of real property",d,A nuncupative will is generally not valid for the transfer of real property
The court proceeding that generally settles a decedent's estate is called,testate,probate,escheat,distribution,b,"A court proceeding called probate generally settles a decedent's estate, whether the person has died testate (having left a valid will) or intestate (having failed to do so)"
"If an owner of real property dies without leaving a will and with no legal heirs, what will generally happen to the property?",It will revert to the state or county by escheat,It will transfer to the decedent's executor,It will be divided equally among adjoining property owners,It will become a public easement,a,"In the absence of heirs, title transfers to the state or county by escheat"
"A municipality wants to build a water treatment facility, and requires some privately owned land to do so.  What procedure enables the municipality to buy the property, even against the owner's wishes?",Estoppel,Escheat,Alienation,Eminent domain,d,The government uses eminent domain to condemn and purchase all properties abutting the thoroughfare in order to complete the construction project
One of the conditions an adverse possessor must meet in order to obtain legal title to a property is,openly possessing and claiming the property without the owner's consent,occupying the property without an occupancy permit,using the property intermittently and without permission over a period of years,building a permanent structure on the property,a,"To claim legal title, the adverse possessor must maintain a consistent claim of hostile possession, which is a claim to ownership and possession regardless of the owner's claims or consent"
"A buyer has signed a contract to purchase a property, but is uncertain of the condition of the title.  Who is legally responsible for knowing the condition of the title?",The County Recorder,The seller's agent,The buyer,The mortgage lender,c,"The buyer is legally responsible for knowing the condition of title, since it is a matter of public record"
A break in the chain of title to a property results in,a clouded title,a title plant,a lien of indeterminate ownership,a duplicate title,a,"Chain of title refers to the succession of property owners of record dating back to the original grant of title from the state to a private party. If there is a missing link in the chronology of owners, or if there was a defective conveyance, the chain is said to be broken, resulting in a clouded title to the property"
A lender's title insurance policy generally protects,the seller against liability for conveying unmarketable title,the buyer against loss of equity through fraud or a disputed title,the lender against the possibility that the lender's lien cannot be enforced,the lender against liability for certifying that the title records have been searched,c,"A common title insurance policy is the lender's policy, which protect the lender's interests in the property. Thus, a lender who holds an $80,000 mortgage on a property will obtain protection worth $80,000 against the possibility that the lender's lien cannot be enforced"
A standard owner's title insurance policy generally protects,the owner against loss of title in a foreclosure suit,the owner against liabilities and losses resulting from title defects,lienholders against loss of their collateral,the seller against liability for conveying title with unrecorded defects,b,"Standard owner's title insurance policy coverage protects against title defects such as incompetent grantors, invalid deeds, fraudulent transaction documents, and defects in the chain of title"
A central goal of public land use planning is to,balance individual property rights with the community's welfare,develop an accord between property owners and tenants,impede development by for-profit developers and construction contractors,subordinate private interests to the public good,a,"Good land use planning has as its goals the preservation of property values, promotion of the highest and best us of property, a balance between individual property rights and public good, to keep growth within infrastructure capabilities, and incorporation of a community consensus into regulation and planning"
The best definition of a master plan is,an annual review of all land use permits and zones,a comprehensive analysis of existing land use patterns in a market,a state or regional land use law requiring compliance on a county-by-county basis,a fusion of land use laws and local land use objectives and strategies,d,The master plan fuses state and regional land use laws with local land use objectives that correspond to the municipality's social and economic conditions
The principal mechanism for implementing a master plan is,zoning,referendum,public elections,property management,a,Zoning is the primary tool by which cities and counties regulate land use and implement their respective master plans
"Zoning, building codes, and environmental restrictions are forms of local land use control known as",force majeure,pre-emption,police power,concurrency,c,"At the local level, county and city governments control land use through the authority known as police power. The most common expressions of police power are county and municipal zoning"
"If a municipality exerts its power of eminent domain against a certain property owner, what happens?",The owner must pay higher property taxes or give up the property,The owner must cede an easement without receiving any compensation,The municipality annexes the property,The owner must sell the property or grant an easement to the municipality for just compensation,d,"Where necessary, the local government or municipality may force property owners to sell their property through the power of eminent domain"
"In most jurisdictions, the master plan is managed by",the mayor or county superintendent,the Board of Equalization,the planning commission,the zoning board of adjustment,c,"In most jurisdictions, a planning commission or board comprised of officials appointed by the government's legislative entity handles the planning function"
Counties and municipalities have the legal right to control land use due to,the doctrine of appropriation,delegation of authority by state-level enabling acts,custom and tradition,consensus of the local community through referendum,b,The process of land use planning begins when the state legislature enacts laws requiring all counties and municipalities to adopt a land use plan. The state enforces its planning mandates by giving state agencies the power to approve county and local plans
"To be valid, a local zoning ordinance must","reasonably promote community health, safety and welfare",comply with federal zoning laws,apply only to unique properties,be published periodically in the local newspaper,a,"Zoning ordinances must be clear in import, apply to all parties equally, and promote health, safety, and welfare of the community in a reasonable manner"
What is the fundamental purpose of a building permit?,To restrict the number of new development projects,To establish the basis for an inspection,To promote certificates of occupancy,To ensure that improvements comply with codes,d,"Local governments enforce zoning ordinances by issuing building permits to those who want to improve, repair, or refurbish a property. To receive a permit, the project must comply with all relevant ordinances and codes"
A primary objective of residential zoning is to,control the value ranges of homes in a neighborhood,regulate density,ensure that only a limited amount of commercial and industrial activity is permitted in a particular residential zone,maximize intensity of usage,b,"Residential zoning regulates density, by limiting the number and size of dwelling units and lots in an area"
"A non-profit organization wants to erect a much-needed daycare center in a residential zone. Given other favorable circumstances, the local authorities grant permission by allowing",a special exception,an illegal nonconforming use,a variance,a license,a,"A special exception grant authorizes a use that is not consistent with the zoning ordinance in a literal sense, yet is clearly beneficial or essential to the public welfare and does not materially impair other uses in the zone"
A property that conformed with zoning ordinances when it was developed but does not conform to new ordinances is said to be,a special exception,a variance,a legal nonconforming use,an anomaly,c,"An illegal nonconforming use is one that conflicts with ordinances that were in place before the use commenced. For instance, if a motel that was allowed as a legal nonconforming use is sold, and the new owner continues to operate the property as a motel, the motel is now an illegal, nonconforming use"
One situation in which a zoning board might permit a variance is when,it would cause the property owner unreasonable hardship to bring the property into compliance with zoning ordinances,the property owner is the one who brings the variance to the attention of the zoning board,the variance was caused by a contractor rather than by the property owner,the property is in conflict with no more than one zoning ordinance,a,"A zoning variance allows a use that differs from the applicable ordinance for a variety of justifiable reasons, including that compliance will cause unreasonable hardship for the property owner to bring the property in compliance with the zoning regulations"
The approval process for development of multiple properties in an area includes submission of,a covenant of restriction,a plat of subdivision,a court order,a developer's pro forma,b,The developer of multiple properties in a subdivision must submit a plat of subdivision containing surveyed plat maps and comprehensive building specifications
A county or municipal authority usually grants a certificate of occupancy for new construction only after,all contractors have been paid for services,all work has been completed for at least thirty days,the construction complies with building codes,the tax assessor has valued the improvement,c,"Building inspectors inspect a new development or improvement for code compliance. If the work complies, the municipality or county issues a certificate of occupancy which officially clears the property for occupation and use"
"In addition to government entities, organizations that may be able to condemn property under the power of eminent domain include",public utilities,financial institutions,major employers,neighborhood associations,a,"Public entities that have the power of eminent domain include public districts, utilities, service corporations, and housing and redevelopment agencies"
A property owner is precluded by deed restriction from developing a thirty foot boat dock. The limitation prompts the owner to sell to another party. The new owner,is free to build the dock since the next door neighbor built a similar dock two weeks later,takes title subject to the same restriction,can build the dock with special permission from the zoning board,"may build, since the restriction is extinguished by the sale",b,"Deed restrictions attach to the title of the property. Therefore, the restriction passes to the new buyer"
A declaration of restriction in a planned unit development is unlike a deed restriction in that,it applies only to aesthetic standards of property use,it attaches to rights rather than interests,it cannot be terminated by a single individual,it takes effect only when approved by a homeowners' association,c,"The declaration of a subdivision, Planned Unit Development, condominium, and commercial or industrial park contains private use restrictions. These have the same legal effect as a deed restriction, as the declaration attaches to the rights in the property. A private party cannot, however, extinguish a declaration restriction by agreement or quitclaim deed"
A deed restriction or declaration of restriction may be enforced by means of a,sheriff's warrant,zoning commission order,foreclosure action,court injunction,d,A private usage restriction can be enforced by filing for a court injunction
A distinguishing feature of a deed condition is that,it gives the grantor the right to re-possess the property if the grantee violates the condition,it ceases to apply if a violation is allowed to continue for a certain period of time,it can be filed at any time after title has been transferred,it restricts who may own the property,a,"A deed condition may restrict certain uses of a property, much like a deed restriction. However, violation of a deed condition gives the grantor the right to re-take possession of the property and file suit for legal title"
Which of the following is a limitation on homeowners association regulations?,They may not require members to carry insurance.,They may not impose a rule that is illegal.,They may not limit the number of people who can reside in a members residence.,They may not prohibit certain types of pets on the premises.,b,An HOA may not impose a rule that conflicts with the law or violates homeowner rights. Infringements of rules and regulations may be enforced by the action of a civil court.
Public land use planning incorporates long-term usage strategies and growth policies in a,deed restriction,master plan,zoning ordinance,recorded plat,b,"Public land use planning incorporates long-term usage strategies and growth policies in a land use plan, or master plan. In many states, the process of land use planning begins when the state legislature enacts laws requiring all counties and municipalities to adopt a land use plan"
Which of the following identifies the primary objectives of a master plan?,To support local government and taxation,To police and enforce zoning ordinances and occupancy rates,To create job opportunities and business growth within a community,To control and accommodate social and economic growth,d,The primary objectives of a master plan are generally to control and accommodate social and economic growth
"To formulate a growth strategy, a plan initially forecasts growth trends, then estimates how well the municipality can keep pace with the growth forecast. For example, a growth plan considers",adequacy of utility companies,residential architectural designs,compliance with the Americans with Disabilities Act,attracting diversity and compliance with the Fair Housing Act,a,"To formulate a growth strategy, a plan initially forecasts growth trends, then estimates how well the municipality can keep pace with the growth forecast. The outcome is a policy position that limits building permits and development projects to desired growth parameters. A growth plan considers: nature, location and extent of permitted uses, availability of sanitation facilities, adequacy of drainage, waste collection, and potable water systems, adequacy of utilities companies, adequacy and patterns of thoroughfares, housing availability, conservation of natural resources, adequacy of recreational facilities, ability and willingness of the community to absorb new taxes, bond issues, and assessments"
Public land use management takes place within ,county and municipal planning departments,state planning departments,federal guidelines,private planning,a,"Public land use management takes place within county and municipal planning departments. These departments are responsible for: long-term implementation of the master plan, creating rules and restrictions that support plans and policies, enforcing and administering land use regulation on an everyday basis"
"At the local level, county and city governments control land use through the authority known as ",enabling acts,law enforcement,police powers,licensing laws,c,"At the local level, county and city governments control land use through the authority known as police power. The most common expressions of police power are county and municipal zoning"
"The Constitution grants the states the legal authority to regulate, and the states delegate the authority to counties and municipalities through legislation called ",enabling acts,zoning ordinances,police powers,licensing laws,a,"The Constitution grants the states the legal authority to regulate, and the states delegate the authority to counties and municipalities through legislation called enabling acts"
"Residential, industrial, and commercial land uses are geographically separated in a municipality through the use of  ",eminent domain,zoning ordinances,building codes,variances and special exceptions,b,"The vehicle for zoning a city or county is the zoning ordinance, a regulation enacted by the local government. The intent of zoning ordinances is to specify land usage for every parcel within the jurisdiction"
Some areas create ____________ to separate residential areas from commercial and industrial zones,greenbelts,restrictive covenants,density control,buffer zones,d,"Residential zoning regulates: density, by limiting the number and size of dwelling units and lots in an area, values and aesthetics, by limiting the type of residences allowed. Some areas adopt buffer zones to separate residential areas from commercial and industrial zones"
Commercial zoning regulates all the following EXCEPT,environmental consequences,intensity of usage,setbacks,building height restrictions,a,"Commercial zoning regulates: intensity of usage, by limiting the area of store or office per site area. Intensity regulation is further achieved by minimum parking requirements, setbacks, and building height restrictions"
Which of the following is the result of a zoning change that leaves existing properties in violation of the new ordinance?,nonconforming use,special exception,variance,amendment,a,"A nonconforming use is one that clearly differs from current zoning. Usually, nonconforming uses result when a zoning change leaves existing properties in violation of the new ordinance"
Which of the following allows use that differs from the applicable ordinance?,nonconforming use,special exception,variance,amendment,c,"A zoning variance allows a use that differs from the applicable ordinance for a variety of justifiable reasons, including that: compliance will cause unreasonable hardship, the use will not change the essential character of the area, the use does not conflict with the general intent of the ordinance"
Subdivision requirements typically regulate  ,fair housing compliance,demographics,subdivision plat maps,dwelling density,d,"Subdivision requirements typically regulate: location, grading, alignment, surfacing, street width, highways, sewers and water mains, lot and block dimensions, building and setback lines, public use dedications, utility easements, ground percolation, environmental impact report, dwelling density"
Which of the following areas are addressed by building codes?,Certificate of occupancy ,Architectural and engineering standards,Building aesthetics,Infrastructure services,b,"Building codes typically address: architectural and engineering standards, construction materials standards, building support systems such as life safety, electrical, mechanical, and utility systems"
"Building inspectors inspect a new development or improvement for code compliance. If the work complies, the municipality or county issues a",benchmark,a nonconforming use certificate,a variance,a certificate of occupancy,d,"Building inspectors inspect a new development or improvement for code compliance. If the work complies, the municipality or county issues a certificate of occupancy which officially clears the property for occupation and use"
"Which of the following describes when a government entity is allowed to acquire privately owned real property for the public good and public use, regardless of the owner's desire to sell or otherwise transfer any interest?",Condemnation suit,Police powers,Eminent domain,Just compensation,c,"Eminent domain allows a government entity to purchase a fee, leasehold, or easement interest in privately owned real property for the public good and for public use, regardless of the owner's desire to sell or otherwise transfer any interest. In exchange for the interest, the government must pay the owner ""just compensation."""
Property owners in the private sector can regulate land use to some extent through which of the following?,Deed restrictions,Eminent domain,Zoning ordinances,Recorded plats,a,Property owners in the private sector can regulate land use to some extent through deed restrictions and deed conditions
A private usage restriction can be enforced by,filing for a court injunction,filing for a variance,police powers,condemnation suit,a,"A private usage restriction can be enforced by filing for a court injunction. A court can order the violator to cease and desist, or to correct the infraction"
A powdery mineral once commonly used as a fireproof insulating material around pipes is known as,mold,asbestos,formaldehyde,lead,b,"Asbestos is a powdery mineral once commonly used as a fireproof insulating material around pipes, in floor tiles and linoleum, in siding and roofing, in wallboard, joint compound, and many other applications"
"A colorless, odorless, poisonous gas that may result from faulty heating equipment is known as",radon,carbon monoxide,asbestos,formaldehyde.,b,"Carbon monoxide is a colorless, odorless, poisonous gas that may result from faulty heating equipment"
"A colorless, odorless, radioactive gas that occurs naturally in the soil throughout the United States is known as ",radon,carbon monoxide,asbestos,formaldehyde,a,"Radon is a colorless, odorless, radioactive gas that occurs naturally in the soil throughout the United States"
"Identify the act that created the Environmental Protection Agency (EPA) and the Council for Environmental Quality, giving them a mandate to establish environmental standards for land use planning",The Clean Air Amendment (1970),The Water Quality Improvement Act (1970),"The Residential Lead-based Paint Hazard Reduction Act (1992, 1996)",The National Environmental Policy Act (1969),d,"The National Environmental Policy Act (1969) created the Environmental Protection Agency (EPA) and the Council for Environmental Quality, giving them a mandate to establish environmental standards for land use planning"
Identify the act that authorized the EPA to establish air quality standards for industrial land uses as well as for automobile and airplane emissions,The National Environmental Policy Act (1969),The Resource Recovery Act (1970),The Compensation and Liability Act (Superfund) (1980),The Clean Air Amendment (1970),d,The Clean Air Amendment (1970) authorized the EPA to establish air quality standards for industrial land uses as well as for automobile and airplane emissions
The Solid Waste Disposal Act regulates which of the following areas?,Solid waste disposal,Wetlands,Landfills,Hazardous waste,c,The Solid Waste Disposal Act regulates landfills
"The Comprehensive Environmental Response, Compensation and Liability Act (CERCLA) regulates which of the following areas?",Underground storage tanks,Lead-based paint disclosure and treatment,Hazardous waste cleanup,Hazardous waste disposal,d,"Comprehensive Environmental Response, Compensation and Liability Act (CERCLA) regulates hazardous waste disposal"
Which of the following statements is true regarding a licensees responsibility and liabilities related to environmental laws?,Licensees are not expected to have expert knowledge of environmental laws,Licensees are not expected to be aware of environmental issues,Licensees are expected to have expert knowledge of environmental laws,Licensees are only expected to disclose environmental issues related to lead,a,"Licensees are expected to be aware of environmental issues and to know where to look for professional help. They are not expected to have expert knowledge of environmental law nor of physical conditions in a property. Rather, they must treat potential environmental hazards in the same way that they treat other material facts about a property: disclosure"
The Lead-based Paint Act of 1992 requires,a tenant or tenants agent to test for lead in all rental properties built before 1978,a seller or sellers agent to disclose known lead problems in properties built before 1978,a seller to mitigate any known lead problems in properties built before 1978,a sellers agent to test for lead in all properties,b,"The Lead-based Paint Act of 1992 requires a seller or sellers agent to disclose known lead problems in properties built before 1978. Further, the 1996 lead-based paint regulation requires sellers or lessors of almost all residential properties built before 1978 to disclose known lead-based paint hazards and provide any relevant records available"
"Under CERCLA and the Superfund Amendment of 1986, current landowners as well as previous owners of a property ",are not liable for environmental violations,"may be held liable for environmental violations, even if innocent of a violation",may be held liable for environmental violations only if found guilty of a violation,can avoid liability by relying on the expert knowledge of a real estate license,b,"Under CERCLA and the Superfund Amendment of 1986, current landowners as well as previous owners of a property may be held liable for environmental violations, even if innocent of a violation. Sellers often carry the greatest exposure, and real estate licensees may be held liable for improper disclosure"
Selling a property with an environmental problem ,does not avoid liability for the seller,shifts the liability to the buyer,releases the sellers agent of any liability,"releases the seller of any liability, providing that the property was sold as-is",a,"Selling a property with an environmental problem does not avoid liability for the seller, although seller and buyer may agree to share or transfer some liability"
Which environmental audit is described as reviews environmental documents; conducts a title search for environmental liens and restrictions; and includes a visual inspection of the site and surrounding properties?,Phase I ESA,Phase II audit (ESA),Phase III audit (ESA),EPA inspection ,a,The Phase I ESA reviews environmental documents; conducts a title search for environmental liens and restrictions; and includes a visual inspection of the site and surrounding properties
"Which environmental audit is described as a more detailed investigation using chemical analysis to uncover hazardous substances and/or petroleum hydrocarbons in samples of soil, groundwater or building materials?",Phase I ESA,Phase II audit (ESA),Phase III audit (ESA),EPA inspection ,b,"A Phase II audit (ESA) is conducted if a site is considered contaminated. This is a more detailed investigation using chemical analysis to uncover hazardous substances and/or petroleum hydrocarbons in samples of soil, groundwater or building materials"
Which of the following environmental audits involves remediation?,Phase I ESA,Phase II audit (ESA),Phase III audit (ESA),EPA inspection ,c,"A Phase III audit (ESA) involves remediation. Intensive testing, sampling, monitoring, and modeling are applied to design plans for remediation, cleanup, and follow-up monitoring"
